,word,frequency,in_Stanford_model,mobility,stay_home,essential_services,public_space,personal_effect,health
0,#covid19,200331,False,,,,,,
1,#coronavirus,97665,False,,,,,,
2,#socialdistancing,41166,False,,,,,,
3,people,23644,True,,,,,,
4,new,19797,True,,,,,,
5,us,18004,True,,,,,,
6,get,17990,True,,,,,,
7,like,15655,True,,,,,,
8,time,14420,True,,,,,,
9,one,14407,True,,,,,,
10,im,14210,True,,,,,,
11,day,13724,True,,,,,,
12,need,13400,True,,,,,,
13,dont,12865,True,,,,,,
14,#stayhome,12661,False,,,,,,
15,home,11718,True,,,,,,
16,today,11606,True,,,,,,
17,help,11147,True,,,,,,
18,stay,10732,True,,,,,,
19,thank,10587,True,,,,,,
20,cases,10061,True,,,,,,
21,know,9905,True,,,,,,
22,going,9796,True,,,,,,
23,go,9622,True,,,,,,
24,#covid19.,9248,False,,,,,,
25,please,9193,True,,,,,,
26,still,9105,True,,,,,,
27,see,9003,True,,,,,,
28,work,8941,True,,,,,,
29,health,8806,True,,,,,,
30,#quarantine,8734,False,,,,,,
31,good,8727,True,,,,,,
32,back,8552,True,,,,,,
33,many,8512,True,,,,,,
34,pandemic,8476,True,,,,,,
35,social,8347,True,,,,,,
36,would,8329,True,,,,,,
37,great,7958,True,,,,,,
38,make,7717,True,,,,,,
39,right,7656,True,,,,,,
40,take,7488,True,,,,,,
41,keep,7178,True,,,,,,
42,first,7140,True,,,,,,
43,cant,7006,True,,,,,,
44,may,6835,True,,,,,,
45,even,6778,True,,,,,,
46,trump,6658,True,,,,,,
47,safe,6562,True,,,,,,
48,care,6503,True,,,,,,
49,think,6494,True,,,,,,
50,everyone,6400,True,,,,,,
51,got,6218,True,,,,,,
52,want,6181,True,,,,,,
53,every,6021,True,,,,,,
54,deaths,5966,True,,,,,,
55,due,5903,True,,,,,,
56,way,5798,True,,,,,,
57,well,5789,True,,,,,,
58,much,5788,True,,,,,,
59,world,5756,True,,,,,,
60,support,5752,True,,,,,,
61,virus,5682,True,,,,,,
62,love,5601,True,,,,,,
63,working,5566,True,,,,,,
64,could,5531,True,,,,,,
65,workers,5528,True,,,,,,
66,thanks,5499,True,,,,,,
67,#pandemic,5484,False,,,,,,
68,also,5437,True,,,,,,
69,state,5406,True,,,,,,
70,last,5295,True,,,,,,
71,distancing,5264,True,,,,,,
72,live,5236,True,,,,,,
73,really,5202,True,,,,,,
74,getting,5156,True,,,,,,
75,#covid,5099,False,,,,,,
76,testing,5071,True,,,,,,
77,#quarantinelife,4932,False,,,,,,
78,mask,4821,True,,,,,,
79,family,4816,True,,,,,,
80,masks,4810,True,,,,,,
81,days,4770,True,,,,,,
82,says,4763,True,,,,,,
83,#stayathome,4740,False,,,,,,
84,week,4673,True,,,,,,
85,life,4667,True,,,,,,
86,since,4580,True,,,,,,
87,stop,4575,True,,,,,,
88,youre,4556,True,,,,,,
89,positive,4537,True,,,,,,
90,say,4504,True,,,,,,
91,another,4491,True,,,,,,
92,public,4490,True,,,,,,
93,lets,4372,True,,,,,,
94,best,4345,True,,,,,,
95,hope,4315,True,,,,,,
96,york,4282,True,,,,,,
97,next,4276,True,,,,,,
98,open,4276,True,,,,,,
99,news,4260,True,,,,,,
